,Document
27,"In 2016, he appeared in the women-centric courtroom drama film Pink which was highly praised by critics and with an increasingly good word of mouth, was a resounding success at the domestic and overseas box office. The film was due to begin filming in February 2008 but due to the writer's strike, was pushed to September 2008. He introduced him to Ramakant Achrekar, a famous cricket coach and a club cricketer of repute, at Shivaji Park, Dadar. Tendulkar scored his 39th ODI hundred on 6 February 2006 in a match against Pakistan. Modi remained only a short time at each, since he lacked the required college education. His approval rating remained largely consistent at around 74% through his second year in office, according to a nationwide poll conducted by instaVaani. And the words were almost irrelevant."" Their creative development was also facilitated by Martin's willingness to experiment in response to their suggestions, such as adding ""something baroque"" to a particular recording. Jagger and Mick Taylor also recorded a session together in London where Taylor added lead guitar to what would be the expanded album's single, ""Plundered My Soul"". In November 2004, the Rolling Stones were among the inaugural inductees into the UK Music Hall of Fame."
28,"=== Productions and acting comeback (1996–1999) ===
Bachchan turned producer during his temporary retirement period, setting up Amitabh Bachchan Corporation, Ltd. (ABCL) in 1996. ISSN 0011-1562. He is the only player to score more than 30,000 runs in all forms of international cricket (Tests, ODIs and Twenty20 Internationals). Sachin served as a ball boy in the 1987 Cricket World Cup when India played against England in the semifinal in Bombay. === Foreign policy ===

Foreign policy played a relatively small role in Modi's election campaign, and did not feature prominently in the BJP's election manifesto. Modi has also been called a fashion-icon for his signature crisply ironed, half-sleeved kurta, as well as for a suit with his name embroidered repeatedly in the pinstripes that he wore during a state visit by US President Barack Obama, which drew public and media attention and criticism. Having originally used Vox AC30 amplifiers, they later acquired more powerful 100-watt amplifiers, specially designed by Vox for them as they moved into larger venues in 1964, but these were still inadequate. According to an account McCartney gave in 1995, he met with Grade and explained he was interested solely in the Northern Songs catalogue if Grade were ever willing to ""separate off"" that portion of ATV Music. 6 in the UK and No. An accompanying soundtrack, also titled Shine a Light, was released in April 2008 and reached No."
29,"In the early 80s, Bachchan authorised the use of his likeness for the comic book character Supremo in a series titled The Adventures of Amitabh Bachchan. Deewaar and Sholay are often credited with exalting Bachchan to the heights of superstardom, two years after he became a star with Zanjeer, and consolidating his domination of the industry throughout the 1970s and 1980s. 2008 – Padma Vibhushan, India's second highest civilian award. In his biography, it is stated that ""Bradman was most taken by Tendulkar's technique, compactness and shot production, and had asked his wife to have a look at Tendulkar, having felt that Tendulkar played like him. He established financial and technology parks in Gujarat and during the 2007 Vibrant Gujarat summit, real-estate investment deals worth ₹6.6 trillion were signed.The governments led by Patel and Modi supported NGOs and communities in the creation of groundwater-conservation projects. The Modi administration tried to attract foreign investment in the Indian economy from several sources, especially in East Asia, with the use of slogans such as ""Make in India"" and ""Digital India"". During a band meeting in September, McCartney recommended that the band proceed with Magical Mystery Tour.The Magical Mystery Tour soundtrack was released in the UK as a six-track double extended play (EP) in early December 1967. In order for Universal Music to acquire EMI, the European Union, for antitrust reasons, forced EMI to spin off assets including Parlophone. 24 in the US. The new family was named in honour of the Rolling Stones, derived from the Greek ""petra"" that stands for ""stone""."
30,"He has been a narrator, a playback singer, and presenter for numerous programmes. He holds a 3.4% equity in Stampede Capital, a financial technology firm specialising in cloud computing for financial markets. His last match for the team was the 
final of the 2013 Champions League, where he scored 14 runs in an Indians victory. Tendulkar now considers the 13 coins he won then as some of his most prized possessions. While Modi was training with the RSS, he also met Vasant Gajendragadkar and Nathalal Jaghda, Bharatiya Jana Sangh leaders who were founding members of the BJP's Gujarat unit in 1980.Also in Narendra Modi's childhood, in a custom traditional to his caste, his family arranged a betrothal to a girl, Jashodaben Chimanlal Modi, leading to their marriage when they were teenagers. Public irrigation measures in central and southern Gujarat, such as the Sardar Sarovar Dam, were less successful. Displeased with the production's use of his song, Harrison withdrew his permission to use it. ==== Controversies, Revolver and final tour ====
Capitol Records, from December 1963 when it began issuing Beatles recordings for the US market, exercised complete control over format, compiling distinct US albums from the band's recordings and issuing songs of their choosing as singles. I'd grown sick to death of the whole Maharishi guru shit and the beads and bells. The Rolling Stones played a private tribute concert for him at London's 100 Club in February 1986."
31,"He was framed in the scam and falsely alleged. Bachchan had, however, pleaded that he had mortgaged his bungalow to raise funds for his company.Bachchan attempted to revive his acting career, and eventually had commercial success with Bade Miyan Chote Miyan (1998) and Major Saab (1998), and received positive reviews for Sooryavansham (1999), but other films such as Lal Baadshah (1999) and Hindustan Ki Kasam (1999) were box office failures. == International career ==


=== Early career ===
Raj Singh Dungarpur is credited for the selection of Tendulkar for the Indian tour of Pakistan in late 1989, after one first class season. On the second day of the Nottingham Test on 28 July 2007, Tendulkar became the third cricketer to complete 11,000 Test runs. In 2007 Modi authored Karmayog, a 101-page booklet discussing manual scavenging. In 2014, 2015 and 2017, he was named one of Time magazine's 100 Most Influential People in the World. However, recording engineer Norman Smith later stated that the studio sessions revealed signs of growing conflict within the group – ""the clash between John and Paul was becoming obvious"", he wrote, and ""as far as Paul was concerned, George could do no right"". In 2016, Sony acquired Jackson's share of Sony/ATV from the Jackson estate for $750 million.Despite the lack of publishing rights to most of their songs, Lennon's estate and McCartney continue to receive their respective shares of the writers' royalties, which together are 33​1⁄3% of total commercial proceeds in the US and which vary elsewhere around the world between 50 and 55%. 2 in the US. 16 in the UK and No."
32,"During this time, he made a guest appearance in the film Guddi which starred his future wife Jaya Bhaduri. Mike McCahill of The Guardian remarked, ""Among an electric ensemble, Tapsee Pannu, Kirti Kulhari and Andrea Tariang give unwavering voice to the girls’ struggles; Amitabh Bachchan brings his moral authority to bear as their sole legal ally.In 2017, he appeared in the third instalment of the Sarkar film series: Ram Gopal Varma's Sarkar 3. === Post-Retirement ===
In July 2014, he captained the MCC side in the Bicentenary Celebration match at Lord's. Chasing 387 for victory in that match, Tendulkar scored 103 not out and shared a 163-run unbroken fifth wicket partnership with Yuvraj Singh. Shortly before the war, Modi took part in a non-violent protest against the Indian government in New Delhi, for which he was arrested; this has been cited as a reason for Inamdar electing to mentor him. It showed only a marginal improvement in rates of infant mortality, and its position with respect to individual consumption declined. When presented with the invitation, Epstein politely declined on the band members' behalf, as it had never been his policy to accept such official invitations. General critical opinion eventually turned in favour of the White Album, and in 2003, Rolling Stone ranked it as the tenth greatest album of all time. 3 in the UK. There are some people who can just ride along from crest to crest; they can ride along somebody else's success."
33,"== Awards and honours ==

 
Apart from National Film Awards, Filmfare Awards and other competitive awards which Bachchan won for his performances throughout the years, he has been awarded several honours for his achievements in the Indian film industry. == See also ==

List of awards and nominations received by Amitabh Bachchan
List of Bollywood actors
List of Indian film actors


== Explanatory notes ==


== References ==


== Further reading ==
Mazumdar, Ranjani. 22 lakh from his MPLAD funds allotted to him during his stint as Rajya Sabha MP for the renovation of a Children's Park in East Bandra. Tendulkar scored poorly in the second Test at Mohali, which ended in a draw. Modi's administration has tried to raise foreign direct investment in the Indian economy and reduced spending on healthcare and social welfare programmes. Modi then went to the Ramakrishna Ashram in Almora, where he was again rejected, before travelling back to Gujarat via Delhi and Rajasthan in 1968–69. American chart success began after disc jockey Carroll James of AM radio station WWDC, in Washington, DC, obtained a copy of the British single ""I Want to Hold Your Hand"" in mid-December 1963 and began playing it on-air. Harrison thus owns the rights to his later Beatles songs such as ""While My Guitar Gently Weeps"" and ""Something"". 2 in both the UK and US. The Beatles 1963 album, With the Beatles, includes their version of the song."
34,"Writing for NDTV, Troy Ribeiro of Indo-Asian News Service (IANS) stated, 'Amitabh Bachchan as Deepak Sehgall, the aged defence lawyer, shines as always, in a restrained, but powerful performance. The Velvet Light Trap. He was the leading run scorer and was adjudged the Man of the Series. Similarly he has been Man of the Match 62 times in One day International matches and Man of the Series 15 times. === Health and sanitation ===

In his first year as prime minister, Modi reduced the amount of money spent by the central government on healthcare. The government also tried to reconstitute the Wildlife board such that it no longer had representatives from non-governmental organisations: however, this move was prevented by the Supreme Court.Modi also relaxed or abolished a number of other environmental regulations, particularly those related to industrial activity. Its second track, the ballad ""Something"", was issued as a single – the only Harrison composition that appeared as a Beatles A-side. Their desire to create new sounds on every new recording, combined with Martin's arranging abilities and the studio expertise of EMI staff engineers Norman Smith, Ken Townsend and Geoff Emerick, all contributed significantly to their records from Rubber Soul and, especially, Revolver onwards.Along with innovative studio techniques such as sound effects, unconventional microphone placements, tape loops, double tracking and vari-speed recording, the Beatles augmented their songs with instruments that were unconventional in rock music at the time. 3 in the US. It began with the sound of prison doors closing, and the accompanying music video included allusions to the trial of Oscar Wilde."
35,"ISSN 0091-8369. ISSN 0894-9468. Indian captain Rahul Dravid declared before Tendulkar reached 200; had he done so it would have been the fourth time he had passed the landmark in Tests. Indian captain Rahul Dravid declared before Tendulkar reached 200; had he done so it would have been the fourth time he had passed the landmark in Tests. In 2018 he was the third most followed head of the state on Twitter, and the most followed world leader on Facebook and Instagram. In his travels during the Emergency, Modi was often forced to move in disguise, once dressing as a monk, and once as a Sikh.Modi became an RSS sambhag pracharak (regional organiser) in 1978, overseeing RSS activities in the areas of Surat and Vadodara, and in 1979 he went to work for the RSS in Delhi, where he was put to work researching and writing the RSS's version of the history of the Emergency. One week later, Koschmider had McCartney and Best arrested for arson after they set fire to a condom in a concrete corridor; the authorities deported them. Two songs based on Lennon demos, ""Free as a Bird"" and ""Real Love"", were issued as new Beatles singles. During the 1972 tour, the Stones developed a complex light show which included giant mirrors that bounced the light off them.During the 1975 Tour of the Americas, arena shows became an industry for the band, and the Stones hired a new lighting director, Jules Fisher. The Rolling Stones played a private tribute concert for him at London's 100 Club in February 1986."
36,"Soon after the company was launched in 1996, the first film it produced was Tere Mere Sapne, which was a moderate success and launched the careers of actors like Arshad Warsi and southern film star Simran.In 1997, Bachchan attempted to make his acting comeback with the film Mrityudata, produced by ABCL. doi:10.1177/1461444806061943. Chappell also believed that Tendulkar's repeated failures were hurting the team's chances. These twin knocks were also known as the Desert Storm innings. Prior to the election Modi's image in the media had centered around his role in the 2002 Gujarat riots, but during the campaign the BJP was able to shift this to a focus on Modi's neoliberal ideology and the Gujarat model of development, although Hindutva remained a significant part of its campaign. In 2018, the World Health Organization stated that at least 180,000 diarrhoeal deaths were averted in rural India after the launch of the sanitation effort. He became the first Beatle to discuss LSD publicly, declaring in a magazine interview that ""it opened my eyes"" and ""made me a better, more honest, more tolerant member of society"". I'd sooner lose our appearance money."" Blackhill Enterprises stage manager Sam Cutler introduced the Rolling Stones on to the stage by announcing: ""Let's welcome the Greatest Rock and Roll Band in the World."" In 2002, the Stones released Forty Licks, a greatest hits double album, to mark forty years as a band."
37,"He supported the campaign by PETA in India to free Sunder, a 14-year-old elephant who was chained and tortured in a temple in Kolhapur, Maharashtra.In 2014, it was announced that he had recorded his voice and lent his image to the Hindi and English language versions of the TeachAIDS software, an international HIV/AIDS prevention education tool developed at Stanford University. Punathambekar, Aswin (2010). === Commercial endorsements ===
Sachin Tendulkar has been sponsored by several brands throughout his career including Boost (1990–present), Pepsi (1992–2009), Action Shoes (1995–2000), MRF (1999–2009), Adidas (2000–10), Britannia (2001–07), Fiat Palio (2001–03), TVS (2002–05), ESPN Star Sports (2002–present), Sunfeast (2007–13), Canon (2006–09), Airtel (2004–06), Rorito (2016–18), G-Hanz (2005–07), Sanyo BPL (2007–present), Toshiba (2010–present), Colgate-Palmolive, Philips, VISA, Castrol India (2011–12), Ujala Techno Bright, Coca-Cola (2011–13) and Musafir.com (2013–present).He has also been a spokesperson for National Egg Coordination Committee (2003–05), AIDS Awareness Campaign (2005) and Luminous India (2010–present). Various national and international figures from cricket, politics, Bollywood and other fields spoke about him in a day-long Salaam Sachin Conclave organised by India Today. State officials later prevented riot victims from leaving the refugee camps, and the camps were often unable to meet the needs of those living there. == Prime Minister ==


=== Governance and other initiatives ===
Modi was sworn in as the Prime Minister of India on 26 May 2014. The next morning, the Beatles awoke to a largely negative critical consensus in the US, but a day later at their first US concert, Beatlemania erupted at the Washington Coliseum. I Love You"".Martin initially selected the Starr version of ""Love Me Do"" for the band's first single, though subsequent re-pressings featured the White version, with Starr on tambourine. A Granada Television production team filmed the performance, which was broadcast on British television as The Stones in the Park. === 1983–1988: Band turmoil and solo projects ===
Before leaving Atlantic, the Rolling Stones released Undercover in late 1983."
38,"In 2014, he played the role of the friendly ghost in the sequel Bhoothnath Returns. In 2001, he was honoured with the Actor of the Century award at the Alexandria International Film Festival in Egypt in recognition of his contribution to the world of cinema. I was not thinking about the milestone, the media started all this, wherever I went, the restaurant, room service, everyone was talking about the 100th hundred. But Mumbai Indians failed to qualify for semifinals after losing the initial two matches. In the show he trekked the jungles and talked about nature and wildlife conservation with Grylls. In 2008 Modi offered land in Gujarat to Tata Motors to set up a plant manufacturing the Nano after a popular agitation had forced the company to move out of West Bengal. As a result, Gould continues, the traditional division between folk and rock enthusiasts ""nearly evaporated"", as the Beatles' fans began to mature in their outlook and Dylan's audience embraced the new, youth-driven pop culture.During the 1964 US tour, the group were confronted with racial segregation in the country at the time, particularly in the South. Throughout early and mid-1962, Epstein sought to free the Beatles from their contractual obligations to Bert Kaempfert Productions. The Rolling Stones have inspired and mentored new generations of musical artists both as a band and individually. 1 on the UK charts; it reached No."
39,"== See also ==

List of awards and nominations received by Amitabh Bachchan
List of Bollywood actors
List of Indian film actors


== Explanatory notes ==


== References ==


== Further reading ==
Mazumdar, Ranjani. ISSN 0011-1562. In the semi final against Services at Palam A Ground, with Mumbai reeling at 23/3, Sachin scored 56 from 75 balls and had an 81-run 4th wicket partnership with Abhishek Nayar (70), and Mumbai eventually won on 1st innings lead after the match went into the sixth day due to rain delays. The BCCI President Sharad Pawar offered the captaincy to Tendulkar, who instead recommended Mahendra Singh Dhoni to take over the reins. Muslim victims of the riots were subject to further discrimination when the state government announced that compensation for Muslim victims would be half of that offered to Hindus, although this decision was later reversed after the issue was taken to court. The state's GDP growth rate averaged 10% during Modi's tenure, a value similar to other highly industrialised states, and above that of the country as a whole. They briefly called themselves the Blackjacks, before changing their name to the Quarrymen after discovering that another local group was already using the name. Two songs based on Lennon demos, ""Free as a Bird"" and ""Real Love"", were issued as new Beatles singles. The US version included the double A-side single ""Let's Spend the Night Together"" and ""Ruby Tuesday"", which went to No. The following year, the band wanted out of contracts with both Klein and Decca, but still owed them a Jagger/Richards credited single."
40,"The film was notable for portraying Bachchan as a romantic hero, a far cry from his ""angry young man"" roles like Zanjeer and Deewar. All of them were successful at the box office. == International career ==


=== Early career ===
Raj Singh Dungarpur is credited for the selection of Tendulkar for the Indian tour of Pakistan in late 1989, after one first class season. === Autobiography ===
Sachin Tendulkar's autobiography, Playing It My Way, was released on 6 November 2014. Many years later Modi would co-author a biography of Inamdar, published in 2001.In 1978 Modi received a Bachelor of Arts degree in political science from School of Open Learning at University of Delhi, graduating with a third class. There, Modi met Lakshmanrao Inamdar, popularly known as Vakil Saheb, who inducted him as a balswayamsevak (junior cadet) in the RSS and became his political mentor. ""It will vanish and shrink. On 8 September, while Starr was in hospital, the other band members met to discuss recording a new album. Smyth would go on to win Top Manager in the 2019 Billboard Live Music Awards.In October 2010, the Stones released Ladies and Gentlemen: The Rolling Stones to cinemas and later on to DVD. Likewise, Watts is primarily a jazz player who was able to bring that genre's influences to the style of the band's drumming."
41,"He also received Best Actor nomination for Kaala Patthar and then went on to be nominated again in 1980 for the Raj Khosla directed film Dostana, in which he starred opposite Shatrughan Sinha and Zeenat Aman. These years would see his last on-screen appearances for some time. === Mike Denness incident ===

In India's 2001 tour of South Africa in the second test match between India and South Africa at St George's Park, Port Elizabeth, match referee Mike Denness fined four Indian players for excessive appealing, as well as fined the Indian captain Sourav Ganguly for not controlling his team. Selected for Yorkshire as a replacement for the injured Australian fast bowler Craig McDermott, Tendulkar played 16 first-class matches for the county and scored 1070 runs at an average of 46.52. Independent sources put the death toll at over 2000. The National Health Mission, which included public health programmes targeted at these indices received nearly 20% less funds in 2015 than in the previous year. In The Beatles as Musicians, Walter Everett describes Lennon and McCartney's contrasting motivations and approaches to composition: ""McCartney may be said to have constantly developed – as a means to entertain – a focused musical talent with an ear for counterpoint and other aspects of craft in the demonstration of a universally agreed-upon common language that he did much to enrich. Directed by Richard Lester, A Hard Day's Night involved the band for six weeks in March–April 1964 as they played themselves in a musical comedy. Richards recorded the guitar riff that drives the song with a fuzzbox as a scratch track to guide a horn section. This resulted in the 1982 live album Still Life (American Concert 1981) which reached No."
42,"Inter-Asia Cultural Studies. Thereafter Bachchan started supporting the Samajwadi Party, the political party to which Amar Singh belonged. I couldn't control my tears of joy."" After getting out, Tendulkar found Azharuddin in two minds about whether he should bat. Gujarat expanded the Jyotigram Yojana scheme, in which agricultural electricity was separated from other rural electricity; the agricultural electricity was rationed to fit scheduled irrigation demands, reducing its cost. Tax breaks for businesses were easier to obtain in Gujarat than in other states, as was land. In March, rejecting the work Johns had done on the project, now retitled Let It Be, Klein gave the session tapes to American producer Phil Spector, who had recently produced Lennon's solo single ""Instant Karma!"" The enterprise drained the group financially with a series of unsuccessful projects handled largely by members of the Beatles' entourage, who were given their jobs regardless of talent and experience. Later, Oldham reduced the band members' ages in publicity material to make them appear as teenagers.Decca Records, which had declined to sign a deal with the Beatles, gave the Rolling Stones a recording contract with favourable terms. 5 in the US."
43,"ISSN 1050-9208. Rao, R. Raj (2008). It became mentally tough for me because nobody talked about my 99 hundreds."" Former Australian fast bowler, Geoff Lawson, has said that Sachin has the right to decide when to quit although he adds that Tendulkar should not delay it for too long. In 2014, Yellapragada Sudershan Rao, who had previously been associated with the RSS, chairperson of the Indian Council of Historical Research (ICHR). His policies during his second term have been credited with reducing corruption in the state. Two of Lennon and McCartney's earliest songs – ""Love Me Do"" and ""P.S. According to Gilmore:

Elvis Presley had shown us how rebellion could be fashioned into eye-opening style; the Beatles were showing us how style could have the impact of cultural revelation – or at least how a pop vision might be forged into an unimpeachable consensus. It was later extended throughout July 2018, adding fourteen new dates across the UK and Europe, making it the band's first UK tour since 2006. 2 in the UK and No."
44,"He has won fifteen Filmfare Awards and is the most nominated performer in any major acting category at Filmfare, with 41 nominations overall. He earned his first Filmfare Award nomination for Best Actor, with Filmfare later considering this one of the most iconic performances of Bollywood history. == Early domestic career ==
On 14 November 1987, the 14-year-old Tendulkar was selected to represent Bombay in the Ranji Trophy, India's premier domestic First-class cricket tournament, for the 1987–88 season. Ian Chappell, former Australian player, remarked in 2007 that ""Tendulkar now, is nothing like the player he was when he was a young bloke"".Tendulkar has incorporated several modern and unorthodox strokes into his repertoire, including the paddle sweep, the scoop over short fine leg and the slash to third man over the slips' heads, over the last seven or eight years. They spent little time together and grew apart when Modi began two years of travel, including visits to Hindu ashrams. The healthcare budget for the following year rose by 19%. A soundtrack LP was issued seven months later; it contained those four new songs, the title track (already issued on Revolver), ""All You Need Is Love"" (already issued as a single and on the US Magical Mystery Tour LP) and seven instrumental pieces composed by Martin. Pepper's Lonely Hearts Club Band (1978), a musical film starring the Bee Gees and Peter Frampton, was a commercial failure and an ""artistic fiasco"", according to Ingham.Accompanying the wave of Beatles nostalgia and persistent reunion rumours in the US during the 1970s, several entrepreneurs made public offers to the Beatles for a reunion concert. He later changed his mind and imagined a band which contrasted with the Beatles, featuring unmatched clothing, long hair, and an unclean appearance. == Band members ==


=== Current members ===


=== Timeline ===


== Discography ==


=== Studio albums ===
Until Their Satanic Majesties Request (1967), UK and US releases were slightly different."
45,"His ancestors on his father's side came from a village called Babupatti, in the Raniganj tehsil, in the Pratapgarh district, in the present-day state of Uttar Pradesh, in India. Deewaar and Sholay are often credited with exalting Bachchan to the heights of superstardom, two years after he became a star with Zanjeer, and consolidating his domination of the industry throughout the 1970s and 1980s. It was listed in the 2016 Limca Book of Records for breaking the record for adult hardback pre-publication orders, with 1,50,289 copies confirmed. One of the most popular sayings by his fans is ""Cricket is my religion and Sachin is my God"". On 9 November 2016, the government demonetised ₹500 and ₹1000 banknotes, with the stated intention of curbing corruption, black money, the use of counterfeit currency, and terrorism. On 2 October 2014, Modi launched the Swachh Bharat Mission (""Clean India"") campaign. When informed that the venue for their 11 September concert, the Gator Bowl in Jacksonville, Florida, was segregated, the Beatles said they would refuse to perform unless the audience was integrated. The LP topped a half-million albums sold in one week. 2 in the US. The third single by the Stones, Buddy Holly's ""Not Fade Away"", reflecting Bo Diddley's style, was released in February 1964 and reached No."
46,"=== Career fluctuations and retirement (1988–1992) ===

After a three-year stint in politics from 1984 to 1987, Bachchan returned to films in 1988, playing the title role in Shahenshah, which was a box office success. In 2014, he played the role of the friendly ghost in the sequel Bhoothnath Returns. Though he scored 141 not out, West Indies won the rain-affected match by the D/L method. The performances earned him respect from Australian cricket fans and players. Nonetheless, from 2001 to 2010 Gujarat recorded an agricultural growth rate of 10.97 percent – the highest of any state. At the end of his third year in office, a further Pew Research poll showed Modi with an overall approval rating of 88%, his highest yet, with 69% of people polled rating him ""very favorably."" Two songs based on Lennon demos, ""Free as a Bird"" and ""Real Love"", were issued as new Beatles singles. By early 1964, the Beatles were international stars, leading the ""British Invasion"" of the United States pop market and breaking numerous sales records. Oldham described the first batch as ""soppy and imitative"". It was also the beginning of their collaboration with producer Jimmy Miller."
47,"His other successes that year include Parvarish and Khoon Pasina.He once again resumed double roles in films such as Kasme Vaade (1978) as Amit and Shankar and Don (1978) playing the characters of Don, a leader of an underworld gang and his look-alike Vijay. Taking advantage of this resurgence, Amitabh began endorsing a variety of products and services, appearing in many television and billboard advertisements. After a few hours of his final match on 16 November 2013, the Prime Minister's Office announced the decision to award him the Bharat Ratna, India's highest civilian award. Tendulkar further enhanced his reputation as a future great during the 1991–92 tour of Australia held before the 1992 Cricket World Cup, that included an unbeaten 148 in the third Test at Sydney, making him the youngest batsman to score a century in Australia. Although Modi's government had announced that it would seek the death penalty for Kodnani on appeal, it reversed its decision in 2013. The move led to severe cash shortages, a steep decline in the Indian stock indices BSE SENSEX and NIFTY 50, and sparked widespread protests throughout the country. He became the first Beatle to discuss LSD publicly, declaring in a magazine interview that ""it opened my eyes"" and ""made me a better, more honest, more tolerant member of society"". Manager Brian Epstein moulded them into a professional act and producer George Martin guided and developed their recordings, greatly expanding their domestic success after their first hit, ""Love Me Do"", in late 1962. They objected to playing the Chuck Berry and Bo Diddley songs preferred by Jagger and Richards. The album debuted at No."
48,"=== Return to prominence (2000–present) ===

In 2000, Amitabh Bachchan appeared in Yash Chopra's box-office hit, Mohabbatein, directed by Aditya Chopra. In 2005 and 2006, he starred with his son Abhishek in the films Bunty Aur Babli (2005), the Godfather tribute Sarkar (2005), and Kabhi Alvida Naa Kehna (2006). Former Australian cricket team coach John Buchanan voiced his opinion that Tendulkar had become susceptible to the short ball early in his innings because of a lack of footwork. In the fifth match, with the series tied at 2–2, Australia amassed 350/4 in 50 overs. Modi, on the selection committee for the 1998 Assembly elections in Gujarat, favoured supporters of BJP leader Keshubhai Patel over those supporting Vaghela to end factional division in the party. Modi's foreign policy, similarly to that of the preceding INC government, focused on improving economic ties, security, and regional relations. I Love You"" – were published by an EMI subsidiary, Ardmore & Beechwood, before they signed with James. On the first week of October 2019, Abbey Road returned to number one on the UK Albums Chart. It reached No. Jagger, recalling when he first heard the likes of Chuck Berry, Bo Diddley, Muddy Waters, Fats Domino, and other major American R&B artists, said it ""seemed the most real thing"" he had heard up to that point."
49,"Soon after the company was launched in 1996, the first film it produced was Tere Mere Sapne, which was a moderate success and launched the careers of actors like Arshad Warsi and southern film star Simran.In 1997, Bachchan attempted to make his acting comeback with the film Mrityudata, produced by ABCL. In June 2019 he cleared debts of 2100 farmers from Bihar.Bachchan was made a UNICEF goodwill ambassador for the polio Eradication Campaign in India in 2002. Tendulkar was given a suspended ban of one game by Denness in light of alleged ball tampering. On 16 March 2012, Tendulkar scored his 100th international hundred. In the first budget of the government, the money allotted to this ministry was reduced by more than 50%. Although early protests by farmers ended when those who benefited found that their electricity supply had stabilised, according to an assessment study corporations and large farmers benefited from the policy at the expense of small farmers and labourers. The group also cancelled their reservations at the whites-only Hotel George Washington in Jacksonville. The Beatles were an English rock band formed in Liverpool in 1960. While Richards was settling his legal and personal problems, Jagger continued his jet-set lifestyle. Their third anniversary concert took place on 8 December at the Barclays Center, Brooklyn, New York."
50,"doi:10.1177/097325860600100201. The first was Deewaar, directed by Yash Chopra, where he worked with Shashi Kapoor, Nirupa Roy, Parveen Babi, and Neetu Singh, and earned another Filmfare nomination for Best Actor. He refused to take the bungalow allotted to him in New Delhi calling it ""waste of taxpayers' money"" as he resides in Mumbai. They have a daughter Sara and a son Arjun whose skills in cricket as a teenager have been receiving attention. His administration has been criticised for failing to significantly improve health, poverty and education indices in the state.Modi led the BJP in the 2014 general election which gave the party a majority in the Indian lower house of parliament, the Lok Sabha, the first time for any single party since 1984. It showed only a marginal improvement in rates of infant mortality, and its position with respect to individual consumption declined. Promoter Bill Sargent first offered the Beatles $10 million for a reunion concert in 1974. Pepper topped the UK charts for 23 consecutive weeks, with a further four weeks at number one in the period through to February 1968. === 2012–2016: 50th anniversary, documentary and Blue & Lonesome ===

The Rolling Stones celebrated their 50th anniversary in the summer of 2012 by releasing the book The Rolling Stones: 50. A live DVD, Sweet Summer Sun: Live in Hyde Park, was released on 11 November.In February 2014, the band embarked on their 14 On Fire tour spanning the Middle East, Asia, Australia and Europe, scheduled to last through to the summer."
51,"The film was a success at the box office. The then-President of Afghanistan awarded him the Order of Afghanistan in 1991 following the shooting of Khuda Gawah there. == Biographies ==


=== Books ===
Sachin Tendulkar has been the subject of various books. He is the only player to score more than 30,000 runs in all forms of international cricket (Tests, ODIs and Twenty20 Internationals). Under Modi, Gujarat topped the World Bank's ""ease of doing business"" rankings among Indian states for two consecutive years. Modi's personality has been variously described by scholars and biographers as energetic, arrogant, and charismatic.He had published a Gujarati book titled Jyotipunj in 2008, containing profiles of various RSS leaders. That ""ringing guitar"" sound was primarily the product of Harrison's 12-string electric Rickenbacker, a prototype given to him by the manufacturer, which made its debut on the record. Towards the end of the tour, they met with Elvis Presley, a foundational musical influence on the band, who invited them to his home in Beverly Hills. He'd never forgive me for that and I don't blame him, but hell, shit happens."" Jagger and Richards set aside their animosity and went to work on a new Rolling Stones album, Steel Wheels."
52,"According to Salim Khan, they ""strongly felt that Amitabh was the ideal casting for Zanjeer"". == See also ==

List of awards and nominations received by Amitabh Bachchan
List of Bollywood actors
List of Indian film actors


== Explanatory notes ==


== References ==


== Further reading ==
Mazumdar, Ranjani. Prior to this, Tendulkar had attended the Indian Education Society's New English School in Bandra (East). He has taken 201 international wickets – 46 in Tests, 154 in ODIs where he is India's twelfth highest wicket taker, and one wicket in Twenty20 Internationals. Riots began during the bandh, and anti-Muslim violence spread through Gujarat. This represented a break with India's historic engagement with Myanmar, which prioritised border security over trade. I thought, 'We've fuckin' had it now.'"" After the moderate success of ""Love Me Do"", the single ""Please Please Me"" met with a more emphatic reception. Throughout the band's career, their musical contributions have been marked by a continual reference and reliance on musical styles including blues, psychedelia, R&B, country, folk, reggae, dance, and world music, exemplified by Jones' collaboration with the Master Musicians of Jajouka, as well as traditional English styles that use stringed instruments like harps. == Legacy ==

Since their formation in 1962, the Rolling Stones have survived multiple feuds."
53,"""The Songless Bollywood Film"". Journal of Homosexuality. The crowd's reaction to Tendulkar's dismissal was to throw objects at Akhtar, and the players were taken off the field. He dedicated this century to the victims of the Mumbai terror attacks. Among the people he met in this role was trade unionist and socialist activist George Fernandes, as well as several other national political figures. He was introduced to the RSS at the age of eight, beginning a long association with the organisation. Lennon, in Denmark at the time, did not participate. That December saw the release of another 59 Beatles recordings on iTunes. Shortly afterwards, the band went on their first tour of the UK, which they called a ""training ground"" tour, because it was a new experience for all of them. After years of deliberation he decided to leave the band, although his retirement was not made official until January 1993."
